city	month	avg_max_temperature	avg_min_temperature	avg_precipitation	histroy_max_temperature	histroy_min_temperature
敦化	3月	2℃	-11℃	13mm	18℃(2002)	18℃(2002)
敦化	4月	12℃	-1℃	30mm	29℃(1998)	29℃(1998)
敦化	5月	19℃	5℃	62mm	32℃(1980)	32℃(1980)
敦化	6月	23℃	11℃	104mm	35℃(1978)	35℃(1978)
敦化	7月	25℃	15℃	151mm	36℃(1997)	36℃(1997)
敦化	8月	25℃	15℃	140mm	33℃(1970)	33℃(1970)
敦化	9月	20℃	7℃	63mm	29℃(1999)	29℃(1999)
敦化	10月	12℃	-1℃	29mm	28℃(1978)	28℃(1978)
敦化	11月	1℃	-10℃	15mm	20℃(2003)	20℃(2003)
敦化	12月	-7℃	-19℃	7mm	8℃(1989)	8℃(1989)
敦煌	1月	-1℃	-15℃	1mm	9℃(1993)	9℃(1993)
敦煌	2月	5℃	-10℃	1mm	18℃(2004)	18℃(2004)
敦煌	3月	13℃	-3℃	2mm	29℃(1959)	29℃(1959)
敦煌	4月	21℃	4℃	3mm	36℃(2004)	36℃(2004)
敦煌	5月	27℃	10℃	3mm	38℃(1951)	38℃(1951)
敦煌	6月	31℃	14℃	7mm	39℃(1951)	39℃(1951)
敦煌	7月	33℃	17℃	12mm	44℃(1952)	44℃(1952)
敦煌	8月	32℃	15℃	5mm	41℃(1953)	41℃(1953)
敦煌	9月	27℃	9℃	2mm	36℃(1999)	36℃(1999)
敦煌	10月	19℃	1℃	1mm	35℃(1951)	35℃(1951)
敦煌	11月	8℃	-6℃	1mm	20℃(1989)	20℃(1989)
敦煌	12月	0℃	-12℃	1mm	10℃(2004)	10℃(2004)
多伦	1月	-10℃	-23℃	2mm	9℃(1979)	9℃(1979)
多伦	2月	-6℃	-20℃	3mm	16℃(1977)	16℃(1977)
多伦	3月	2℃	-12℃	8mm	22℃(2002)	22℃(2002)
多伦	4月	12℃	-3℃	15mm	29℃(2004)	29℃(2004)
多伦	5月	19℃	4℃	29mm	32℃(2001)	32℃(2001)
多伦	6月	23℃	9℃	63mm	35℃(2005)	35℃(2005)
多伦	7月	25℃	13℃	105mm	36℃(2000)	36℃(2000)
多伦	8月	24℃	11℃	89mm	33℃(1997)	33℃(1997)
多伦	9月	19℃	4℃	44mm	32℃(1998)	32℃(1998)
多伦	10月	12℃	-3℃	17mm	25℃(1957)	25℃(1957)
多伦	11月	1℃	-12℃	5mm	20℃(1971)	20℃(1971)
多伦	12月	-8℃	-20℃	2mm	10℃(1968)	10℃(1968)
峨眉山	1月	0℃	-9℃	16mm	19℃(1964)	19℃(1964)
峨眉山	2月	1℃	-8℃	26mm	19℃(1977)	19℃(1977)
峨眉山	3月	4℃	-4℃	53mm	24℃(2007)	24℃(2007)
峨眉山	4月	8℃	0℃	115mm	23℃(1998)	23℃(1998)
峨眉山	5月	11℃	4℃	172mm	22℃(1988)	22℃(1988)
峨眉山	6月	13℃	7℃	223mm	23℃(1984)	23℃(1984)
峨眉山	7月	15℃	9℃	376mm	22℃(1952)	22℃(1952)
峨眉山	8月	15℃	9℃	441mm	23℃(1951)	23℃(1951)
峨眉山	9月	11℃	6℃	216mm	20℃(1995)	20℃(1995)
峨眉山	10月	7℃	1℃	105mm	19℃(1980)	19℃(1980)
峨眉山	11月	4℃	-3℃	46mm	20℃(1987)	20℃(1987)
峨眉山	12月	1℃	-7℃	17mm	19℃(2002)	19℃(2002)
额尔古纳	1月	-22℃	-33℃	4mm	-2℃(1995)	-2℃(1995)
额尔古纳	2月	-16℃	-29℃	3mm	2℃(1992)	2℃(1992)
额尔古纳	3月	-5℃	-19℃	5mm	17℃(1990)	17℃(1990)
额尔古纳	4月	8℃	-6℃	14mm	28℃(1998)	28℃(1998)
额尔古纳	5月	18℃	2℃	22mm	35℃(2001)	35℃(2001)
额尔古纳	6月	24℃	9℃	57mm	36℃(1969)	36℃(1969)
额尔古纳	7月	25℃	13℃	103mm	38℃(2004)	38℃(2004)
额尔古纳	8月	23℃	10℃	88mm	35℃(2005)	35℃(2005)
额尔古纳	9月	17℃	3℃	36mm	33℃(2000)	33℃(2000)
额尔古纳	10月	7℃	-7℃	15mm	26℃(1986)	26℃(1986)
额尔古纳	11月	-8℃	-20℃	7mm	12℃(2006)	12℃(2006)
额尔古纳	12月	-19℃	-30℃	6mm	-1℃(1983)	-1℃(1983)
额济纳旗	1月	-4℃	-18℃	0mm	10℃(1979)	10℃(1979)
额济纳旗	2月	2℃	-13℃	0mm	17℃(1992)	17℃(1992)
额济纳旗	3月	10℃	-5℃	1mm	25℃(2002)	25℃(2002)
额济纳旗	4月	20℃	3℃	1mm	35℃(2006)	35℃(2006)
额济纳旗	5月	27℃	11℃	3mm	39℃(1982)	39℃(1982)
额济纳旗	6月	32℃	16℃	5mm	41℃(2005)	41℃(2005)
额济纳旗	7月	34℃	19℃	10mm	43℃(1999)	43℃(1999)
额济纳旗	8月	32℃	17℃	8mm	41℃(1975)	41℃(1975)
额济纳旗	9月	26℃	10℃	4mm	39℃(2000)	39℃(2000)
额济纳旗	10月	17℃	1℃	3mm	31℃(2008)	31℃(2008)
额济纳旗	11月	6℃	-8℃	0mm	20℃(1998)	20℃(1998)
额济纳旗	12月	-3℃	-16℃	0mm	13℃(1989)	13℃(1989)
鄂托克旗	1月	-3℃	-17℃	2mm	14℃(2002)	14℃(2002)
鄂托克旗	2月	1℃	-13℃	3mm	16℃(1979)	16℃(1979)
鄂托克旗	3月	8℃	-5℃	7mm	26℃(2003)	26℃(2003)
鄂托克旗	4月	16℃	2℃	11mm	34℃(1994)	34℃(1994)
鄂托克旗	5月	23℃	8℃	22mm	34℃(1969)	34℃(1969)
鄂托克旗	6月	27℃	13℃	29mm	37℃(1966)	37℃(1966)
鄂托克旗	7月	29℃	16℃	59mm	37℃(2000)	37℃(2000)
鄂托克旗	8月	27℃	14℃	83mm	36℃(1983)	36℃(1983)
鄂托克旗	9月	22℃	8℃	34mm	35℃(1998)	35℃(1998)
鄂托克旗	10月	15℃	1℃	13mm	28℃(1987)	28℃(1987)
鄂托克旗	11月	6℃	-7℃	4mm	21℃(1979)	21℃(1979)
鄂托克旗	12月	-1℃	-15℃	1mm	13℃(1968)	13℃(1968)
恩施	1月	8℃	3℃	23mm	--	--
恩施	2月	10℃	4℃	32mm	--	--
恩施	3月	15℃	7℃	46mm	--	--
恩施	4月	21℃	12℃	97mm	--	--
恩施	5月	26℃	17℃	137mm	--	--
恩施	6月	29℃	20℃	164mm	--	--
恩施	7月	32℃	23℃	162mm	--	--
恩施	8月	32℃	22℃	112mm	--	--
恩施	9月	27℃	19℃	82mm	--	--
恩施	10月	21℃	14℃	83mm	--	--
恩施	11月	16℃	9℃	52mm	--	--
恩施	12月	10℃	4℃	23mm	--	--
二连浩特	1月	-11℃	-24℃	1mm	11℃(1979)	11℃(1979)
二连浩特	2月	-5℃	-20℃	1mm	15℃(1992)	15℃(1992)
二连浩特	3月	4℃	-11℃	3mm	25℃(2002)	25℃(2002)
二连浩特	4月	15℃	-1℃	5mm	32℃(1998)	32℃(1998)
二连浩特	5月	23℃	7℃	10mm	35℃(1958)	35℃(1958)
二连浩特	6月	28℃	13℃	20mm	40℃(1961)	40℃(1961)
二连浩特	7月	30℃	17℃	36mm	41℃(1999)	41℃(1999)
二连浩特	8月	28℃	15℃	37mm	40℃(1972)	40℃(1972)
二连浩特	9月	22℃	7℃	16mm	37℃(1999)	37℃(1999)
二连浩特	10月	13℃	-2℃	7mm	28℃(1987)	28℃(1987)
二连浩特	11月	1℃	-12℃	2mm	20℃(1971)	20℃(1971)
二连浩特	12月	-8℃	-21℃	1mm	10℃(1968)	10℃(1968)
房县	1月	8℃	-2℃	10mm	21℃(2002)	21℃(2002)
房县	2月	10℃	0℃	17mm	24℃(1977)	24℃(1977)
房县	3月	15℃	4℃	38mm	34℃(2007)	34℃(2007)
房县	4月	22℃	10℃	70mm	35℃(1967)	35℃(1967)
房县	5月	26℃	14℃	100mm	38℃(1981)	38℃(1981)
房县	6月	30℃	19℃	109mm	40℃(1966)	40℃(1966)
房县	7月	32℃	22℃	147mm	41℃(1988)	41℃(1988)
房县	8月	31℃	21℃	131mm	39℃(1959)	39℃(1959)
房县	9月	26℃	16℃	99mm	40℃(1997)	40℃(1997)
房县	10月	21℃	11℃	70mm	32℃(1959)	32℃(1959)
房县	11月	15℃	5℃	30mm	29℃(2006)	29℃(2006)
房县	12月	10℃	-1℃	12mm	21℃(1968)	21℃(1968)
丰宁	1月	-3℃	-18℃	1mm	9℃(1974)	9℃(1974)
丰宁	2月	1℃	-15℃	3mm	18℃(1966)	18℃(1966)
丰宁	3月	8℃	-7℃	7mm	28℃(2002)	28℃(2002)
丰宁	4月	17℃	1℃	17mm	33℃(1972)	33℃(1972)
丰宁	5月	24℃	8℃	35mm	38℃(2001)	38℃(2001)
丰宁	6月	27℃	13℃	79mm	38℃(1961)	38℃(1961)
丰宁	7月	28℃	17℃	135mm	41℃(2000)	41℃(2000)
丰宁	8月	27℃	15℃	114mm	37℃(1984)	37℃(1984)
丰宁	9月	23℃	8℃	55mm	35℃(2002)	35℃(2002)
丰宁	10月	16℃	1℃	19mm	29℃(2006)	29℃(2006)
丰宁	11月	6℃	-8℃	5mm	20℃(2005)	20℃(2005)
丰宁	12月	-1℃	-15℃	1mm	14℃(1989)	14℃(1989)
凤山	1月	15℃	8℃	25mm	29℃(1966)	29℃(1966)
凤山	2月	17℃	10℃	28mm	34℃(1973)	34℃(1973)
凤山	3月	21℃	13℃	41mm	35℃(1983)	35℃(1983)
凤山	4月	26℃	17℃	97mm	37℃(1991)	37℃(1991)
凤山	5月	28℃	20℃	210mm	37℃(1963)	37℃(1963)
凤山	6月	30℃	22℃	307mm	37℃(1985)	37℃(1985)
凤山	7月	31℃	23℃	300mm	37℃(2000)	37℃(2000)
凤山	8月	31℃	22℃	236mm	36℃(1966)	36℃(1966)
凤山	9月	29℃	20℃	122mm	36℃(1963)	36℃(1963)
凤山	10月	26℃	17℃	97mm	34℃(1999)	34℃(1999)
凤山	11月	21℃	13℃	47mm	31℃(1974)	31℃(1974)
凤山	12月	17℃	9℃	24mm	29℃(1974)	29℃(1974)
奉节	1月	9℃	3℃	14mm	20℃(2007)	20℃(2007)
奉节	2月	11℃	5℃	23mm	23℃(2004)	23℃(2004)
奉节	3月	16℃	9℃	50mm	34℃(1954)	34℃(1954)
奉节	4月	22℃	13℃	98mm	37℃(1955)	37℃(1955)
奉节	5月	25℃	17℃	160mm	37℃(1988)	37℃(1988)
奉节	6月	29℃	21℃	161mm	41℃(2006)	41℃(2006)
奉节	7月	32℃	24℃	182mm	41℃(2006)	41℃(2006)
奉节	8月	32℃	23℃	127mm	42℃(2006)	42℃(2006)
奉节	9月	27℃	19℃	137mm	41℃(2006)	41℃(2006)
奉节	10月	21℃	15℃	98mm	35℃(1956)	35℃(1956)
奉节	11月	16℃	10℃	47mm	28℃(1954)	28℃(1954)
奉节	12月	10℃	5℃	19mm	20℃(1955)	20℃(1955)
佛冈	1月	17℃	8℃	60mm	29℃(1965)	29℃(1965)
佛冈	2月	18℃	10℃	90mm	29℃(1973)	29℃(1973)
佛冈	3月	21℃	14℃	151mm	33℃(2000)	33℃(2000)
佛冈	4月	25℃	18℃	270mm	34℃(2002)	34℃(2002)
佛冈	5月	29℃	22℃	412mm	36℃(1976)	36℃(1976)
佛冈	6月	31℃	24℃	423mm	38℃(2004)	38℃(2004)
佛冈	7月	33℃	25℃	243mm	40℃(2003)	40℃(2003)
佛冈	8月	33℃	25℃	231mm	38℃(2004)	38℃(2004)
佛冈	9月	31℃	23℃	138mm	39℃(1963)	39℃(1963)
佛冈	10月	28℃	19℃	70mm	37℃(2005)	37℃(2005)
佛冈	11月	24℃	14℃	44mm	34℃(1996)	34℃(1996)
佛冈	12月	20℃	9℃	40mm	30℃(1968)	30℃(1968)
佛坪	1月	7℃	-3℃	6mm	18℃(1979)	18℃(1979)
佛坪	2月	9℃	-1℃	12mm	23℃(1998)	23℃(1998)
佛坪	3月	14℃	3℃	29mm	30℃(2003)	30℃(2003)
佛坪	4月	20℃	8℃	58mm	33℃(1978)	33℃(1978)
佛坪	5月	24℃	12℃	92mm	35℃(2001)	35℃(2001)
佛坪	6月	27℃	15℃	102mm	37℃(2006)	37℃(2006)
佛坪	7月	28℃	18℃	202mm	39℃(1995)	39℃(1995)
佛坪	8月	28℃	18℃	159mm	37℃(1997)	37℃(1997)
佛坪	9月	22℃	13℃	140mm	37℃(1997)	37℃(1997)
佛坪	10月	18℃	8℃	79mm	30℃(1977)	30℃(1977)
佛坪	11月	13℃	3℃	28mm	26℃(1979)	26℃(1979)
佛坪	12月	8℃	-1℃	6mm	20℃(1978)	20℃(1978)
佛山	1月	18℃	11℃	33mm	--	--
佛山	2月	18℃	12℃	45mm	--	--
佛山	3月	21℃	15℃	64mm	--	--
佛山	4月	26℃	20℃	149mm	--	--
佛山	5月	30℃	23℃	204mm	--	--
佛山	6月	32℃	25℃	227mm	--	--
佛山	7月	33℃	26℃	180mm	--	--
佛山	8月	33℃	26℃	181mm	--	--
佛山	9月	32℃	24℃	136mm	--	--
佛山	10月	29℃	21℃	49mm	--	--
佛山	11月	25℃	16℃	21mm	--	--
佛山	12月	21℃	12℃	25mm	--	--
涪陵	1月	10℃	6℃	16mm	19℃(1969)	19℃(1969)
涪陵	2月	12℃	7℃	20mm	24℃(1979)	24℃(1979)
涪陵	3月	18℃	11℃	45mm	33℃(2007)	33℃(2007)
涪陵	4月	23℃	15℃	104mm	38℃(1958)	38℃(1958)
涪陵	5月	27℃	19℃	168mm	38℃(1958)	38℃(1958)
涪陵	6月	29℃	22℃	174mm	41℃(1961)	41℃(1961)
涪陵	7月	33℃	24℃	149mm	42℃(1961)	42℃(1961)
涪陵	8月	34℃	24℃	120mm	44℃(2006)	44℃(2006)
涪陵	9月	29℃	21℃	113mm	43℃(2006)	43℃(2006)
涪陵	10月	22℃	16℃	107mm	36℃(1999)	36℃(1999)
涪陵	11月	17℃	12℃	54mm	29℃(1979)	29℃(1979)
涪陵	12月	11℃	7℃	24mm	20℃(1968)	20℃(1968)
福鼎	1月	14℃	6℃	54mm	27℃(1965)	27℃(1965)
福鼎	2月	14℃	6℃	83mm	29℃(2003)	29℃(2003)
福鼎	3月	17℃	9℃	132mm	31℃(1956)	31℃(1956)
福鼎	4月	22℃	14℃	148mm	35℃(1967)	35℃(1967)
福鼎	5月	26℃	18℃	206mm	36℃(1991)	36℃(1991)
福鼎	6月	29℃	22℃	244mm	39℃(2002)	39℃(2002)
福鼎	7月	33℃	25℃	154mm	41℃(1989)	41℃(1989)
福鼎	8月	33℃	25℃	262mm	38℃(2005)	38℃(2005)
福鼎	9月	30℃	22℃	227mm	39℃(1995)	39℃(1995)
福鼎	10月	26℃	17℃	79mm	35℃(2005)	35℃(2005)
福鼎	11月	21℃	12℃	55mm	31℃(2005)	31℃(2005)
福鼎	12月	16℃	8℃	44mm	27℃(1974)	27℃(1974)
福海	1月	-13℃	-25℃	5mm	1℃(2002)	1℃(2002)
福海	2月	-9℃	-22℃	3mm	8℃(1963)	8℃(1963)
福海	3月	2℃	-11℃	4mm	24℃(1989)	24℃(1989)
福海	4月	16℃	1℃	8mm	32℃(1997)	32℃(1997)
福海	5月	23℃	9℃	13mm	36℃(1974)	36℃(1974)
福海	6月	28℃	14℃	13mm	39℃(2008)	39℃(2008)
福海	7月	30℃	16℃	21mm	40℃(2004)	40℃(2004)
福海	8月	28℃	14℃	17mm	39℃(2008)	39℃(2008)
福海	9月	22℃	7℃	13mm	35℃(1959)	35℃(1959)
福海	10月	13℃	0℃	10mm	30℃(1985)	30℃(1985)
福海	11月	1℃	-9℃	8mm	17℃(1978)	17℃(1978)
福海	12月	-10℃	-20℃	7mm	6℃(1989)	6℃(1989)
福州	1月	15℃	8℃	50mm	27℃(2002)	27℃(2002)
福州	2月	15℃	8℃	82mm	30℃(1996)	30℃(1996)
福州	3月	19℃	11℃	130mm	32℃(1955)	32℃(1955)
福州	4月	23℃	15℃	148mm	35℃(2005)	35℃(2005)
福州	5月	27℃	19℃	201mm	38℃(1991)	38℃(1991)
福州	6月	30℃	23℃	210mm	39℃(2000)	39℃(2000)
福州	7月	34℃	25℃	113mm	42℃(2003)	42℃(2003)
福州	8月	33℃	25℃	165mm	40℃(1978)	40℃(1978)
福州	9月	30℃	23℃	145mm	40℃(1995)	40℃(1995)
福州	10月	26℃	19℃	46mm	36℃(1983)	36℃(1983)
福州	11月	22℃	15℃	37mm	33℃(2005)	33℃(2005)
福州	12月	18℃	10℃	32mm	30℃(1968)	30℃(1968)
抚顺	1月	-5℃	-16℃	5mm	--	--
抚顺	2月	-1℃	-12℃	4mm	--	--
抚顺	3月	7℃	-4℃	13mm	--	--
抚顺	4月	17℃	5℃	25mm	--	--
抚顺	5月	23℃	12℃	39mm	--	--
抚顺	6月	27℃	17℃	76mm	--	--
抚顺	7月	29℃	21℃	129mm	--	--
抚顺	8月	28℃	20℃	106mm	--	--
抚顺	9月	24℃	12℃	47mm	--	--
抚顺	10月	16℃	5℃	27mm	--	--
抚顺	11月	5℃	-4℃	14mm	--	--
抚顺	12月	-2℃	-12℃	8mm	--	--
抚州	1月	15℃	9℃	43mm	--	--
抚州	2月	15℃	9℃	63mm	--	--
抚州	3月	18℃	11℃	104mm	--	--
抚州	4月	23℃	15℃	101mm	--	--
抚州	5月	27℃	20℃	148mm	--	--
抚州	6月	31℃	23℃	138mm	--	--
抚州	7月	34℃	26℃	92mm	--	--
抚州	8月	34℃	26℃	120mm	--	--
抚州	9月	30℃	23℃	129mm	--	--
抚州	10月	26℃	19℃	37mm	--	--
抚州	11月	22℃	15℃	27mm	--	--
抚州	12月	18℃	10℃	26mm	--	--
阜新	1月	-4℃	-17℃	3mm	9℃(1976)	9℃(1976)
阜新	2月	0℃	-13℃	3mm	18℃(1992)	18℃(1992)
阜新	3月	7℃	-6℃	8mm	24℃(2002)	24℃(2002)
阜新	4月	17℃	3℃	23mm	33℃(1972)	33℃(1972)
阜新	5月	24℃	10℃	39mm	38℃(2001)	38℃(2001)
阜新	6月	28℃	16℃	86mm	41℃(1972)	41℃(1972)
阜新	7月	30℃	20℃	140mm	41℃(2000)	41℃(2000)
阜新	8月	29℃	18℃	117mm	37℃(1968)	37℃(1968)
阜新	9月	24℃	11℃	52mm	35℃(1999)	35℃(1999)
阜新	10月	16℃	3℃	27mm	30℃(2006)	30℃(2006)
阜新	11月	6℃	-6℃	8mm	20℃(2006)	20℃(2006)
阜新	12月	-2℃	-14℃	3mm	14℃(1989)	14℃(1989)
阜阳	1月	6℃	-3℃	26mm	34℃(1963)	34℃(1963)
阜阳	2月	9℃	0℃	31mm	26℃(1977)	26℃(1977)
阜阳	3月	14℃	4℃	55mm	30℃(1973)	30℃(1973)
阜阳	4月	21℃	11℃	61mm	34℃(1978)	34℃(1978)
阜阳	5月	27℃	16℃	84mm	38℃(1982)	38℃(1982)
阜阳	6月	31℃	21℃	147mm	41℃(1953)	41℃(1953)
阜阳	7月	32℃	24℃	208mm	41℃(1959)	41℃(1959)
阜阳	8月	32℃	23℃	112mm	41℃(1959)	41℃(1959)
阜阳	9月	27℃	18℃	75mm	39℃(1999)	39℃(1999)
阜阳	10月	22℃	12℃	51mm	35℃(1998)	35℃(1998)
阜阳	11月	16℃	5℃	37mm	30℃(1979)	30℃(1979)
阜阳	12月	9℃	0℃	20mm	22℃(1955)	22℃(1955)
富锦	1月	-14℃	-24℃	6mm	2℃(1967)	2℃(1967)
富锦	2月	-9℃	-21℃	6mm	9℃(1960)	9℃(1960)
富锦	3月	0℃	-11℃	13mm	21℃(1990)	21℃(1990)
富锦	4月	11℃	0℃	27mm	32℃(2008)	32℃(2008)
富锦	5月	19℃	7℃	48mm	34℃(1964)	34℃(1964)
富锦	6月	25℃	14℃	77mm	37℃(2008)	37℃(2008)
富锦	7月	27℃	17℃	105mm	39℃(2000)	39℃(2000)
富锦	8月	25℃	16℃	114mm	36℃(1982)	36℃(1982)
富锦	9月	20℃	9℃	67mm	32℃(1977)	32℃(1977)
富锦	10月	11℃	0℃	35mm	28℃(1982)	28℃(1982)
富锦	11月	-2℃	-11℃	12mm	16℃(2005)	16℃(2005)
富锦	12月	-12℃	-21℃	8mm	7℃(1958)	7℃(1958)
富裕	1月	-14℃	-26℃	2mm	1℃(1974)	1℃(1974)
富裕	2月	-8℃	-22℃	2mm	11℃(1960)	11℃(1960)
富裕	3月	1℃	-12℃	5mm	22℃(1980)	22℃(1980)
富裕	4月	12℃	-1℃	20mm	29℃(1971)	29℃(1971)
富裕	5月	21℃	7℃	34mm	36℃(2001)	36℃(2001)
富裕	6月	26℃	14℃	63mm	41℃(2001)	41℃(2001)
富裕	7月	28℃	17℃	133mm	39℃(1968)	39℃(1968)
富裕	8月	26℃	15℃	97mm	36℃(1982)	36℃(1982)
富裕	9月	20℃	8℃	54mm	32℃(2001)	32℃(2001)
富裕	10月	11℃	-1℃	19mm	27℃(2006)	27℃(2006)
富裕	11月	-2℃	-13℃	5mm	15℃(2006)	15℃(2006)
富裕	12月	-12℃	-23℃	4mm	5℃(2004)	5℃(2004)
富蕴	1月	-12℃	-26℃	10mm	5℃(1966)	5℃(1966)
富蕴	2月	-8℃	-24℃	8mm	8℃(1963)	8℃(1963)
富蕴	3月	2℃	-13℃	10mm	25℃(1989)	25℃(1989)
富蕴	4月	15℃	1℃	14mm	31℃(1972)	31℃(1972)
富蕴	5月	23℃	7℃	16mm	35℃(2004)	35℃(2004)
富蕴	6月	28℃	12℃	18mm	39℃(2001)	39℃(2001)
富蕴	7月	29℃	15℃	28mm	42℃(2004)	42℃(2004)
富蕴	8月	28℃	12℃	16mm	39℃(1979)	39℃(1979)
富蕴	9月	22℃	6℃	15mm	35℃(1998)	35℃(1998)
富蕴	10月	13℃	-1℃	15mm	28℃(1990)	28℃(1990)
富蕴	11月	1℃	-12℃	22mm	18℃(2006)	18℃(2006)
富蕴	12月	-10℃	-23℃	15mm	10℃(1989)	10℃(1989)
甘孜	1月	5℃	-11℃	5mm	21℃(2007)	21℃(2007)
甘孜	2月	8℃	-8℃	9mm	21℃(2001)	21℃(2001)
甘孜	3月	11℃	-4℃	18mm	25℃(1999)	25℃(1999)
甘孜	4月	15℃	0℃	32mm	27℃(1966)	27℃(1966)
甘孜	5月	18℃	4℃	75mm	29℃(1966)	29℃(1966)
甘孜	6月	20℃	7℃	131mm	32℃(1951)	32℃(1951)
甘孜	7月	21℃	9℃	114mm	30℃(2006)	30℃(2006)
甘孜	8月	21℃	8℃	96mm	30℃(1951)	30℃(1951)
甘孜	9月	19℃	6℃	105mm	28℃(1951)	28℃(1951)
甘孜	10月	15℃	1℃	46mm	26℃(2007)	26℃(2007)
甘孜	11月	10℃	-6℃	8mm	21℃(1964)	21℃(1964)
甘孜	12月	6℃	-11℃	4mm	18℃(1987)	18℃(1987)
赣榆	1月	4℃	-4℃	17mm	17℃(1979)	17℃(1979)
赣榆	2月	6℃	-2℃	20mm	23℃(1996)	23℃(1996)
赣榆	3月	12℃	2℃	30mm	28℃(1964)	28℃(1964)
赣榆	4月	18℃	8℃	50mm	33℃(1978)	33℃(1978)
赣榆	5月	24℃	14℃	66mm	37℃(1982)	37℃(1982)
赣榆	6月	28℃	19℃	109mm	39℃(1978)	39℃(1978)
赣榆	7月	30℃	23℃	252mm	40℃(2002)	40℃(2002)
赣榆	8月	30℃	23℃	210mm	39℃(1959)	39℃(1959)
赣榆	9月	26℃	18℃	98mm	35℃(1995)	35℃(1995)
赣榆	10月	21℃	11℃	40mm	32℃(1998)	32℃(1998)
赣榆	11月	14℃	4℃	30mm	27℃(2003)	27℃(2003)
赣榆	12月	7℃	-2℃	15mm	20℃(1968)	20℃(1968)
赣州	1月	12℃	5℃	61mm	28℃(1972)	28℃(1972)
赣州	2月	14℃	7℃	103mm	30℃(2001)	30℃(2001)
赣州	3月	18℃	11℃	166mm	32℃(1988)	32℃(1988)
赣州	4月	24℃	16℃	190mm	35℃(2005)	35℃(2005)
赣州	5月	28℃	21℃	224mm	37℃(2004)	37℃(2004)
赣州	6月	31℃	24℃	207mm	38℃(2004)	38℃(2004)
赣州	7月	35℃	26℃	116mm	40℃(1988)	40℃(1988)
赣州	8月	34℃	25℃	135mm	41℃(1953)	41℃(1953)
赣州	9月	31℃	22℃	86mm	39℃(1963)	39℃(1963)
赣州	10月	26℃	17℃	65mm	37℃(2005)	37℃(2005)
赣州	11月	20℃	12℃	50mm	33℃(2005)	33℃(2005)
赣州	12月	15℃	7℃	44mm	29℃(1968)	29℃(1968)
刚察	1月	-5℃	-20℃	1mm	7℃(2006)	7℃(2006)
刚察	2月	-2℃	-17℃	2mm	8℃(1998)	8℃(1998)
刚察	3月	3℃	-11℃	5mm	17℃(1960)	17℃(1960)
刚察	4月	8℃	-5℃	13mm	23℃(1998)	23℃(1998)
刚察	5月	12℃	0℃	39mm	22℃(1991)	22℃(1991)
刚察	6月	14℃	3℃	72mm	22℃(1966)	22℃(1966)
刚察	7月	17℃	6℃	89mm	28℃(2000)	28℃(2000)
刚察	8月	17℃	5℃	88mm	25℃(1999)	25℃(1999)
刚察	9月	13℃	1℃	55mm	22℃(1977)	22℃(1977)
刚察	10月	8℃	-5℃	14mm	18℃(1973)	18℃(1973)
刚察	11月	2℃	-12℃	3mm	9℃(1976)	9℃(1976)
刚察	12月	-3℃	-17℃	1mm	7℃(1991)	7℃(1991)
高雄	1月	22℃	15℃	13mm	--	--
高雄	2月	23℃	15℃	23mm	--	--
高雄	3月	25℃	18℃	28mm	--	--
高雄	4月	28℃	22℃	62mm	--	--
高雄	5月	30℃	24℃	116mm	--	--
高雄	6月	32℃	26℃	263mm	--	--
高雄	7月	32℃	27℃	271mm	--	--
高雄	8月	32℃	26℃	248mm	--	--
高雄	9月	31℃	26℃	106mm	--	--
高雄	10月	30℃	23℃	18mm	--	--
高雄	11月	27℃	20℃	6mm	--	--
高雄	12月	24℃	16℃	14mm	--	--
高要	1月	18℃	11℃	40mm	29℃(1966)	29℃(1966)
高要	2月	18℃	12℃	60mm	29℃(1979)	29℃(1979)
高要	3月	22℃	15℃	76mm	32℃(2000)	32℃(2000)
高要	4月	26℃	20℃	176mm	36℃(1998)	36℃(1998)
高要	5月	30℃	23℃	269mm	37℃(1963)	37℃(1963)
高要	6月	32℃	25℃	270mm	38℃(2004)	38℃(2004)
高要	7月	33℃	26℃	222mm	39℃(2006)	39℃(2006)
高要	8月	33℃	26℃	242mm	39℃(1990)	39℃(1990)
高要	9月	31℃	24℃	161mm	38℃(1990)	38℃(1990)
高要	10月	29℃	21℃	62mm	36℃(2005)	36℃(2005)
高要	11月	25℃	16℃	39mm	33℃(2005)	33℃(2005)
高要	12月	20℃	12℃	28mm	30℃(1998)	30℃(1998)
高邮	1月	6℃	-2℃	34mm	19℃(1964)	19℃(1964)
高邮	2月	8℃	0℃	37mm	25℃(1987)	25℃(1987)
高邮	3月	13℃	4℃	62mm	29℃(1973)	29℃(1973)
高邮	4月	20℃	10℃	70mm	33℃(2004)	33℃(2004)
高邮	5月	25℃	15℃	82mm	36℃(2000)	36℃(2000)
高邮	6月	29℃	20℃	149mm	37℃(2006)	37℃(2006)
高邮	7月	31℃	24℃	230mm	38℃(1978)	38℃(1978)
高邮	8月	31℃	24℃	150mm	40℃(2003)	40℃(2003)
高邮	9月	27℃	19℃	93mm	37℃(1955)	37℃(1955)
高邮	10月	22℃	13℃	54mm	33℃(2002)	33℃(2002)
高邮	11月	15℃	6℃	46mm	28℃(1979)	28℃(1979)
高邮	12月	9℃	0℃	26mm	22℃(2008)	22℃(2008)
格尔木	1月	-1℃	-16℃	1mm	14℃(2006)	14℃(2006)
